Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Categoría (product.metafields.custom.contexto),Bundle Discount Rate (product.metafields.c_f.bundle_discount_rate),Dimensiones (product.metafields.c_f.dimensions),Grouped Sub Product (product.metafields.c_f.grouped_sub_product),Material (product.metafields.c_f.material),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Tamaño de accesorio (product.metafields.shopify.accessory-size),Grupo de edad (product.metafields.shopify.age-group),Tipo de joyería corporal (product.metafields.shopify.body-jewelry-type),Diseño de la pulsera (product.metafields.shopify.bracelet-design),Tipo de eslabón de cadena (product.metafields.shopify.chain-link-type),Color (product.metafields.shopify.color-pattern),Diseño de aretes (product.metafields.shopify.earring-design),Color del instrumento (product.metafields.shopify.instrument-color),Material de joyería (product.metafields.shopify.jewelry-material),Tipo de joyería (product.metafields.shopify.jewelry-type),Material (product.metafields.shopify.material),Diseño de collar (product.metafields.shopify.necklace-design),Diseño de anillo (product.metafields.shopify.ring-design),Tamaño del anillo (product.metafields.shopify.ring-size),Sexo objetivo (product.metafields.shopify.target-gender),Productos complementarios (product.metafields.shopify--discovery--product_recommendation.complementary_products),Productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configuración de productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsos de productos en la búsqueda (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Included / United States,Price / United States,Compare At Price / United States,Status
piercing-brilas,Piercing Brilas,"<p data-start=""148"" data-end=""351"">El <strong>Piercing Brilas</strong> es ese detalle pequeño que hace la diferencia. Su diseño en acero quirúrgico se complementa con un cristal transparente que hace que sea muy fácil de combinar. Es perfecto para llevar solo o mezclar con otros piercings y crear un estilo más personal.<br>Elaborado en <strong>acero quirúrgico, es hipoalergénico, resistente al agua </strong>y no cambia de color, ideal para uso diario.<br></p>",Blunua,Ropa y accesorios > Joyería > Joyas para piercings,Piercings,"Body piercing, Dorado, for her, madres26, para ella, para ellas, Piercing, Piercing Her, Piercings, Plateado, Regalo, Regalos, Regalos50W",TRUE,Color,dorado,product.metafields.shopify.color-pattern,,,,,,,PI014DOXXW,0,shopify,deny,manual,49000,,TRUE,TRUE,,,,,PI014DOXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/PI014DOXXW_dorado_piercing-brilas_lf_e701ca98-e523-4484-8d79-753a100fd9e7.jpg?v=1776435652,1,,FALSE,,"Piercing en acero quirúrgico con cristal transparente. Hipoalergénico, resistente al agua, no cambia de color. Piercing para mujer.",,,,,,,,,,,,,,"<ul>
    <li><strong>Diámetro dije</strong>: 4 mm</li>
    <li><strong>Largo pin de seguridad</strong>: 7mm</li>
    <li><strong>Grosor pin de seguridad</strong>: 1 mm</li>
<ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Cristal: Zirconia Cúbica. </li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,,,adultos,,,,dorado; plateado-1,,,acero-inoxidable; banado-en-oro,joyeria-fina; fine-jewelry,,,,,femenino; female,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/PI014DOXXW-Dorado-Piercing-Brilas-Ls-2_df5a5da3-245c-412f-a8eb-bfa0cb070a01.jpg?v=1776435652,g,,,TRUE,,,TRUE,,,active
piercing-brilas,,,,,,,,,plateado-1,,,,,,,,PI014PLXXW,0,shopify,deny,manual,49000,,TRUE,TRUE,,,,,PI014PLXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/PI014DOXXW-Dorado-Piercing-Brilas-Ls-2_df5a5da3-245c-412f-a8eb-bfa0cb070a01.jpg?v=1776435652,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/PI014PLXXW-Plateado-Piercing-Brilas-Ls-2_6978f0f1-b2df-4a80-861e-b11e43784f83.jpg?v=1776435652,g,,,,,,,,,
piercing-brilas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/PI014PLXXW-Plateado-Piercing-Brilas-Ls-2_6978f0f1-b2df-4a80-861e-b11e43784f83.jpg?v=1776435652,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piercing-brilas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/Cajitas-Mujer-Ls-1_27aa4da3-528c-41c6-8972-009123dd304c.jpg?v=1776708816,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-mist-bold,Collar Mist Bold,"<p>El <strong>Collar Mist Bold</strong> es de un collar de acero quirúrgico, se complementa con una perla colgante que aporta un toque clásico y limpio.<br>Elaborado en <strong>acero quirúrgico, es hipoalergénico, resistente al agua</strong> y no cambia de color, ideal para el uso diario.<br></p>",Blunua,Ropa y accesorios > Joyería > Collares,Collares Midis,"collar for her, Collares, Collares Midi, Collares Midi Her, Collares Midis, Collares Midis Her, Dorado, for her, madres26, para ella, para ellas, perla, Plateado, Regalo, Regalos100W",TRUE,Color,Dorado,,,,,,,,CO245DOXXW,0,shopify,deny,manual,98000,,TRUE,TRUE,,,,,CO245DOXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO245PLXXW-Plateado-Collar-Mist-Bold-Uso1-1.jpg?v=1776186690,1,,FALSE,,"Collar en acero quirúrgico con perla colgante. Hipoalergénico, resistente al agua, no cambia de color. Cadena elegante para mujer.",,,,,,,,,,,,mujer,,"<p><ul>
    <li><strong>Largo:</strong> 42.5 cm </li>
    <li><strong>Largo dije:</strong> 2.5 cm aprox. </li>
    <li><strong>Ancho dije:</strong> 1.2 cm aprox. </li>
    <p></ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,,,adultos,,,,dorado; plateado,,,acero-inoxidable; banado-en-oro,joyeria-fina; fine-jewelry,acero-inoxidable,cadena,,,femenino; female,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO245DOXXW_dorado_collar-mist-bold_lf_fef5e3f9-dd06-4db7-bf81-10feabe9682e.jpg?v=1776435605,g,,,TRUE,,,TRUE,,,active
collar-mist-bold,,,,,,,,,Plateado,,,,,,,,CO245PLXXW,0,shopify,deny,manual,98000,,TRUE,TRUE,,,,,CO245PLXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO245PLXXW-Plateado-Collar-Mist-Bold-Ls-1_a43f1ee4-1075-4c07-9c72-d1b9bc581cc2.jpg?v=1776186690,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO245PLXXW-Plateado-Collar-Mist-Bold-Uso1-1.jpg?v=1776186690,g,,,,,,,,,
collar-mist-bold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO245PLXXW-Plateado-Collar-Mist-Bold-Uso-2.jpg?v=1776186690,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-mist-bold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO245DOXXW-Dorado-Collar-Mist-Bold-Ls-1_1cca2c93-97ff-4ac0-aee5-a10765d38675.jpg?v=1776186690,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-mist-bold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO245PLXXW_plateado_collar-mist-bold_uso_57ca607e-fb84-4f6d-bf19-a0e344e807b2.jpg?v=1776435605,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-mist-bold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO245DOXXW_dorado_collar-mist-bold_lf_fef5e3f9-dd06-4db7-bf81-10feabe9682e.jpg?v=1776435605,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-mist-bold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO245PLXXW_plateado_collar-mist-bold_lf_b0d60ebe-b417-4681-b931-87df15b45a32.jpg?v=1776435605,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-mist-bold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO245DOXXW_dorado_collar-mist-bold_uso_26623fab-ce51-42e2-bb0d-8330312475d1.jpg?v=1776435605,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-mist-bold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/Cajitas-Mujer-Ls-1_48217a41-b573-4068-867c-11d3c7e268f1.jpg?v=1776457326,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aretes-mist,Aretes Mist,"<p>Los <strong>Aretes Mist</strong> son ese toque sutil que alarga y estiliza tu look. Su diseño en acero quirúrgico combina una base tipo topito con una cadena delicada y dos perlas que aportan movimiento y un aire elegante.<br>Elaborados en <strong>acero quirúrgico, son hipoalergénicos, resistentes al agua</strong> y no cambian de color, ideales para el uso diario.<br></p>",Blunua,Ropa y accesorios > Joyería > Pendientes,Aretes,"Aretes, Aretes for her, Aretes Largos, Dorado, for her, madres26, para ella, para ellas, perla, perlas, Plateado, Regalo, Regalos, Regalos150W",TRUE,Color,Dorado,,,,,,,,AR095DOXXW,0,shopify,deny,manual,109000,,TRUE,TRUE,,,,,AR095DOXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AR095DOXXW_dorado_aretes-mist_lf.png?v=1782247763,1,,FALSE,,"Aretes en acero quirúrgico con perlas colgantes. Hipoalergénicos, resistentes al agua, no cambian de color. Aretes largos para mujer.",,,,,,,,,,,,mujer,,"<ul>
<li><strong>Largo total</strong>:  5 cm.</li>
</ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Piedra: Piedra Natural Jade.</li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,,,adultos,,,,dorado; plateado,stud,,banado-en-oro; acero-inoxidable,fine-jewelry; joyeria-fina,acero-inoxidable,,,,femenino; female,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AR095DOXXW_dorado_aretes-mist_lf.png?v=1782247763,g,,,TRUE,,,TRUE,,,active
